Key,English,Translation (FI)
pageTitle,Compose Your Letter,Laadi kirjeesi
previous,Previous,Edellinen
next,Next,Seuraava
step1.title,Name and Address,Nimi ja osoite
step1.properties.name.title,Full Name,Koko nimi
step1.properties.address.title,Address,Osoite
step2.title,Optout Out,Optout Out
step2.properties.primaryUse.title,Primary use,Ensisijainen käyttö
step2.properties.secondaryUse.title,Secondary use,Toissijainen käyttö
step3.title,GP Name,GP Nimi
step3.properties.gpName.title,Search GP Name,Etsi GP nimellä
step4.title,Choose amount to pay,Valitse maksumäärä
step4.properties.amount.title,Amount (£),Määrä (€)
step5.title,Subscribe to Newsletter,Tilaa uutiskirje
step5.properties.subscribe.title,Subscribe?,Tilaa?
